DATE,,,,IC4WSA,,
4,2,1983,,479250,,
4,9,1983,,484500,,
4,16,1983,,495750,,
4,23,1983,,497500,,
4,30,1983,,497250,,
5,7,1983,,496750,,
5,14,1983,,484000,,
5,21,1983,,477000,,
5,28,1983,,468000,,
6,4,1983,,459250,,
6,11,1983,,453750,,
6,18,1983,,447250,,
6,25,1983,,444250,,
7,2,1983,,435000,,
7,9,1983,,427500,,
7,16,1983,,418000,,
7,23,1983,,406250,,
7,30,1983,,404500,,
8,6,1983,,405250,,
8,13,1983,,420500,,
8,20,1983,,433000,,
8,27,1983,,435750,,
9,3,1983,,434750,,
9,10,1983,,421250,,
9,17,1983,,411250,,
9,24,1983,,408750,,
10,1,1983,,409250,,
10,8,1983,,410000,,
10,15,1983,,407250,,
10,22,1983,,401750,,
10,29,1983,,399500,,
11,5,1983,,396750,,
11,12,1983,,395750,,
11,19,1983,,394000,,
11,26,1983,,392500,,
12,3,1983,,385000,,
12,10,1983,,379500,,
12,17,1983,,373250,,
12,24,1983,,368000,,
12,31,1983,,369750,,
1,7,1984,,366750,,
1,14,1984,,364000,,
1,21,1984,,353000,,
1,28,1984,,351000,,
2,4,1984,,347500,,
2,11,1984,,344250,,
2,18,1984,,344500,,
2,25,1984,,339250,,
3,3,1984,,340500,,
3,10,1984,,342500,,
3,17,1984,,346250,,
3,24,1984,,347000,,
3,31,1984,,345500,,
4,7,1984,,354250,,
4,14,1984,,356250,,
4,21,1984,,360750,,
4,28,1984,,369250,,
5,5,1984,,365250,,
5,12,1984,,368000,,
5,19,1984,,365500,,
5,26,1984,,360250,,
6,2,1984,,357750,,
6,9,1984,,358000,,
6,16,1984,,359750,,
6,23,1984,,361750,,
6,30,1984,,363000,,
7,7,1984,,362250,,
7,14,1984,,362000,,
7,21,1984,,360750,,
7,28,1984,,360500,,
8,4,1984,,364500,,
8,11,1984,,369500,,
8,18,1984,,380500,,
8,25,1984,,389500,,
9,1,1984,,390250,,
9,8,1984,,395750,,
9,15,1984,,393750,,
9,22,1984,,393750,,
9,29,1984,,398000,,
10,6,1984,,398250,,
10,13,1984,,402500,,
10,20,1984,,413500,,
10,27,1984,,419250,,
11,3,1984,,424250,,
11,10,1984,,420000,,
11,17,1984,,406000,,
11,24,1984,,407000,,
12,1,1984,,401500,,
12,8,1984,,399000,,
12,15,1984,,399750,,
12,22,1984,,387250,,
12,29,1984,,381750,,
1,5,1985,,378250,,
1,12,1985,,378500,,
1,19,1985,,373500,,
1,26,1985,,370750,,
2,2,1985,,375000,,
2,9,1985,,378500,,
2,16,1985,,386250,,
